x,y,cluster,income_decile
-52.275314,29.28952,1,1.0
5.1959624,-79.18375,1,2.0
1.2433625,63.65313,1,1.0
19.515247,4.5065055,3,3.0
22.25678,1.0017215,3,10.0
-27.418571,-37.522842,3,10.0
53.500862,-42.03017,5,5.0
55.752678,-50.081642,5,4.0
0.35374063,-37.95031,3,7.0
4.381961,5.8695707,3,1.0
27.438871,-12.109497,3,10.0
-28.054913,-35.12342,4,10.0
27.93269,-19.845978,1,4.0
28.074083,-19.881002,1,4.0
39.667755,-19.144405,1,4.0
-33.696518,28.375875,1,4.0
27.918081,-19.748348,1,5.0
-24.648075,30.767553,1,4.0
-24.425062,31.355564,1,2.0
40.679443,-14.859052,3,8.0
-25.850445,45.450344,1,1.0
40.98923,-16.831263,3,5.0
40.224796,-15.576448,3,7.0
11.017509,-29.682718,3,7.0
41.01692,-15.589527,3,7.0
41.296654,-16.660816,3,4.0
-24.58593,30.677683,1,4.0
-24.491995,31.48356,1,2.0
39.536934,-15.300551,3,7.0
-24.570839,30.667084,1,4.0
14.779222,-19.961796,3,5.0
28.593893,-60.862564,1,5.0
49.961098,-19.8636,3,4.0
-16.437765,-28.134127,1,1.0
-6.0738177,-24.977266,3,8.0
-31.456894,-9.775134,1,2.0
59.945267,33.824265,0,4.0
-25.014048,43.684532,1,2.0
-45.09044,-39.096844,4,3.0
-54.368298,-31.4262,4,2.0
-58.812943,30.627707,1,1.0
46.557293,-0.86377394,3,10.0
-42.732758,-3.9039612,1,5.0
-43.312798,-45.002907,4,7.0
8.457954,-83.542366,4,3.0
25.621143,5.063562,3,9.0
9.552615,51.819218,3,6.0
-58.371723,31.629494,1,3.0
34.145153,2.3344672,2,9.0
27.796053,-55.62764,1,5.0
-12.446167,37.17756,3,8.0
10.763498,-4.42092,2,6.0
-34.050686,44.9563,1,4.0
25.193722,4.874652,3,6.0
-34.48334,34.829445,1,3.0
44.92227,-14.115105,2,6.0
6.490787,24.04885,1,7.0
-6.5456614,-20.22654,3,7.0
-40.134277,42.320797,1,4.0
-5.858724,33.019714,1,4.0
9.221122,24.08118,3,7.0
-19.793509,25.290243,3,8.0
27.073032,36.64142,3,7.0
7.908251,22.559185,3,6.0
25.291069,47.469563,1,4.0
-37.4421,-29.23608,4,3.0
60.216137,38.4908,0,9.0
-53.234867,39.398197,1,4.0
7.38084,-3.2693639,2,4.0
-32.412605,19.134912,1,7.0
60.236122,35.54642,0,7.0
61.068336,37.99065,0,8.0
62.73042,41.076393,0,1.0
16.897974,55.2713,1,5.0
-6.7535934,52.58156,1,3.0
63.94928,-7.601081,2,10.0
-43.989307,51.252907,1,2.0
58.92796,-9.618524,2,9.0
61.747486,-5.936622,2,9.0
8.189647,0.22930008,2,7.0
65.94262,-9.810576,2,8.0
60.30954,-10.08246,2,8.0
62.33671,-4.4351397,2,10.0
66.08203,-7.984665,2,10.0
34.38477,24.574003,3,5.0
45.279446,11.943926,3,5.0
-46.481667,-40.280853,4,4.0
20.708078,46.75471,1,1.0
-38.75477,-10.421759,1,3.0
1.0081028,23.749493,3,4.0
-50.15417,39.14817,1,4.0
33.13355,26.434395,3,2.0
-40.113033,44.04973,1,6.0
5.638371,25.191854,3,5.0
50.00842,13.193553,3,9.0
-31.100964,-4.1315107,1,7.0
29.086212,46.47239,1,5.0
-1.8031541,55.303905,1,3.0
-36.918076,-1.1861567,1,6.0
8.95133,20.754946,3,9.0
-28.002188,-8.815083,1,4.0
28.608173,-57.646206,1,3.0
-16.996143,-59.86381,2,2.0
67.157845,-10.869766,2,5.0
-17.561302,-59.99088,2,3.0
-13.184554,-59.36769,1,7.0
-12.978745,-59.394127,1,3.0
-11.511922,-59.990814,1,6.0
-7.1099987,-58.673485,3,5.0
-17.353296,-59.743443,2,4.0
-17.000921,-58.470097,4,3.0
-40.67144,53.2041,1,4.0
56.213562,-37.201508,5,8.0
3.2137618,-2.0404437,2,8.0
56.649982,-40.20809,5,3.0
2.9541323,-1.3939947,2,5.0
5.68522,-4.033844,2,8.0
-28.00742,-25.956886,2,7.0
7.9512243,0.29264286,2,5.0
56.830788,-36.68916,5,2.0
3.4806027,49.925144,3,6.0
-38.49041,19.666294,1,3.0
3.2990026,-0.09108883,2,4.0
-8.993096,-10.005979,2,1.0
28.377691,-56.67368,1,5.0
-5.246966,25.441504,1,3.0
-50.398026,-35.24287,4,3.0
29.83234,45.16537,1,9.0
-9.059598,-10.149801,4,3.0
-23.387556,-44.40739,4,3.0
-9.925047,11.116962,1,1.0
-54.67884,-40.69597,4,5.0
-31.796158,13.103889,1,3.0
-47.73632,-32.42401,4,3.0
-55.253117,-37.08416,4,2.0
21.320097,8.67364,1,1.0
8.689559,23.651587,1,7.0
28.924854,-3.356446,3,7.0
49.83298,-45.105583,5,7.0
-8.3156805,-54.25789,1,2.0
-9.227711,-51.937817,1,1.0
58.196842,-43.879536,5,8.0
-51.722046,-16.43621,4,2.0
-6.5729175,-52.137566,3,2.0
-8.504563,-53.51158,1,3.0
-5.2343297,-52.851574,1,5.0
-4.674329,-54.827614,3,8.0
-45.754673,-21.53115,4,3.0
-49.54011,-35.141613,4,5.0
10.669557,-22.121548,3,6.0
-30.140148,-9.921282,1,3.0
28.787739,-51.301086,3,6.0
57.412468,-40.516186,5,4.0
-20.870253,29.139177,1,6.0
37.359116,-7.082892,3,6.0
-49.706615,-39.684055,4,3.0
-12.1182575,-60.199245,1,1.0
-15.79441,-55.84627,4,2.0
-8.305619,-59.64794,3,6.0
-15.728079,-55.772785,4,2.0
-51.71608,-16.452707,4,1.0
57.17229,33.281036,0,2.0
-13.047747,-62.939007,4,2.0
-16.729252,-57.38416,4,2.0
-16.693409,-57.128174,4,4.0
-38.477543,20.094797,1,2.0
-29.965567,14.994318,1,1.0
60.481663,35.031155,0,1.0
-49.39774,-33.202404,4,2.0
-2.0026095,8.846655,3,2.0
-39.483845,22.159546,1,1.0
20.398403,9.5107,1,1.0
-16.514843,28.501425,1,1.0
-30.577557,28.114384,1,1.0
-46.897316,-35.576183,4,5.0
