"recno","date","day","x4_1","x4_2","x4_3","x4_4","x4_5","x4_3drm"
18,1,13,4211,,10200,1,5,10200
18,1,18,4632,,5000,1,5,5000
18,1,13,4151,,3400,1,5,3400
18,1,19,4613,,1100,1,5,1100
18,1,17,2785,2,900,1,1,900
18,1,4,4483,,800,1,6,800
18,1,29,4483,,800,1,6,800
18,1,30,4483,,800,1,6,800
18,1,21,2790,1,650,1,1,650
18,1,19,4483,,600,1,6,600
18,1,22,4483,,600,1,6,600
18,1,21,3512,3,450,1,1,450
18,1,2,4483,,400,1,6,400
18,1,7,4483,,400,1,6,400
18,1,12,4483,,400,1,6,400
18,1,13,4483,,400,1,6,400
18,1,14,4483,,400,1,6,400
18,1,15,4483,,400,1,6,400
18,1,20,4483,,400,1,6,400
18,1,23,4483,,400,1,6,400
18,1,24,4483,,400,1,6,400
18,1,26,4483,,400,1,6,400
18,1,28,4483,,400,1,6,400
18,1,21,2789,1,300,1,1,300
18,1,17,3512,1,250,1,1,250
18,1,17,3508,1,200,1,1,200
18,1,17,3529,1,200,1,1,200
19,1,26,4221,,24000,1,5,24000
19,1,19,2831,,11000,1,6,11000
19,1,26,4211,,10000,1,5,10000
19,1,26,4623,,3500,1,6,3500
19,1,26,4151,,1200,1,5,1200
19,1,26,4613,,1100,1,5,1100
19,1,13,4483,,1000,1,6,1000
19,1,17,4483,,1000,1,6,1000
19,1,19,4483,,1000,1,6,1000
19,1,22,4483,,1000,1,6,1000
19,1,25,4483,,1000,1,6,1000
19,1,27,4483,,1000,1,6,1000
19,1,30,4483,,1000,1,6,1000
19,1,28,4071,,800,1,6,800
19,1,28,3512,2,300,1,1,300
19,1,28,4161,,200,1,6,200
20,1,18,4211,,23000,1,5,23000
20,1,18,4221,,10000,1,5,10000
20,1,19,2071,20,6000,1,1,6000
20,1,25,2071,20,6000,1,1,6000
20,1,28,2071,20,6000,1,1,6000
20,1,19,4623,,4000,1,6,4000
20,1,18,4632,,4000,1,5,4000
20,1,18,4151,,1500,1,5,1500
20,1,18,4613,,1100,1,5,1100
20,1,21,4483,,1000,1,6,1000
20,1,27,4483,,1000,1,6,1000
20,1,18,4161,,800,1,5,800
20,1,15,3501,2,500,1,1,500
20,1,15,3512,3,450,1,1,450
21,1,19,4221,,40000,1,5,40000
21,1,22,2831,,10000,1,6,10000
21,1,19,4211,,8000,1,5,8000
21,1,27,2071,20,6000,1,1,6000
21,1,17,4632,,5000,1,6,5000
21,1,21,2071,10,3000,1,1,3000
21,1,19,4151,,3000,1,5,3000
21,1,19,4614,,2000,1,5,2000
21,1,17,4622,,1500,1,6,1500
21,1,17,4161,,1200,1,5,1200
21,1,19,4613,,1100,1,5,1100
21,1,18,4483,,1000,1,6,1000
21,1,22,4483,,1000,1,6,1000
21,1,27,4483,,1000,1,1,1000
21,1,30,4483,,1000,1,6,1000
21,1,17,4071,,800,1,6,800
22,1,19,4221,,30000,1,5,30000
22,1,19,4211,,9000,1,5,9000
22,1,23,3510,30,5100,1,6,5100
22,1,17,2831,,5000,1,6,5000
22,1,23,4632,,4500,1,6,4500
22,1,19,4614,,4000,1,5,4000
22,1,23,4801,,3000,1,6,3000
22,1,19,4151,,2500,1,5,2500
22,1,19,4613,,1100,1,5,1100
22,1,17,4483,,1000,1,6,1000
22,1,21,4483,,1000,1,6,1000
22,1,27,4483,,1000,1,6,1000
23,1,23,4211,,15000,1,5,15000
23,1,28,2831,,11000,1,6,11000
23,1,20,2831,,10000,1,6,10000
23,1,23,4221,,4000,1,5,4000
23,1,20,4632,,3000,1,6,3000
23,1,23,4151,,2500,1,5,2500
23,1,23,4613,,1100,1,5,1100
23,1,22,4161,,1000,1,5,1000
23,1,16,4483,,1000,1,6,1000
23,1,18,4483,,1000,1,6,1000
23,1,24,4483,,1000,1,6,1000
23,1,27,4483,,1000,1,6,1000
23,1,29,4483,,1000,1,6,1000
23,1,30,4483,,1000,1,6,1000
23,1,28,2785,2,800,1,1,800
23,1,28,3512,8,800,1,1,800
23,1,20,4622,,700,1,6,700
23,1,28,3501,2,400,1,1,400
23,1,28,2789,1,300,1,1,300
24,1,19,4221,,35000,1,5,35000
24,1,21,4632,,6000,1,6,6000
24,1,19,4211,,7000,1,5,7000
24,1,19,4623,,4000,1,6,4000
24,1,19,4151,,2000,1,5,2000
24,1,19,4613,,1100,1,5,1100
24,1,13,4483,,1000,1,6,1000
24,1,17,4483,,1000,1,6,1000
24,1,22,4483,,1000,1,6,1000
24,1,26,4483,,1000,1,6,1000
24,1,22,3512,4,600,1,1,600
24,1,22,3512,1,250,1,1,250
25,1,22,4221,,20000,1,5,20000
25,1,22,4211,,18000,1,5,18000
25,1,17,2071,20,7000,1,1,7000
25,1,22,4622,,4000,1,6,4000
25,1,29,2071,10,3500,1,1,3500
25,1,22,4801,,3000,1,6,3000
25,1,22,4151,,2300,1,5,2300
25,1,22,4614,,1400,1,5,1400
25,1,22,4613,,1100,1,5,1100
25,1,23,4483,,1000,1,6,1000
25,1,28,4483,,1000,1,6,1000
25,1,17,4483,,600,1,6,600
26,1,22,4221,,40000,1,5,40000
26,1,22,4211,,12000,1,5,12000
26,1,22,4623,,6000,1,6,6000
26,1,22,4151,,3000,1,5,3000
26,1,22,4613,,1100,1,5,1100
26,1,18,4483,,1000,1,6,1000
26,1,24,4483,,1000,1,6,1000
26,1,27,4483,,1000,1,6,1000
26,1,21,2531,1,920,1,1,920
26,1,30,3512,5,750,1,1,750
26,1,30,3512,1,250,1,1,250
27,1,17,4211,,9000,1,5,9000
27,1,17,4221,,3000,1,5,3000
27,1,17,4632,,3000,1,6,3000
27,1,18,4622,,2000,1,6,2000
27,1,17,4613,,1100,1,5,1100
27,1,17,4151,2,1000,1,5,1000
27,1,18,4161,,200,1,6,200
28,1,17,2951,4,120000,1,5,120000
28,1,21,5151,,45000,1,5,45000
28,1,17,4221,,20000,1,5,20000
28,1,21,5249,,15000,1,5,15000
28,1,1,2072,45,13500,1,1,13500
28,1,21,4425,,10000,1,6,10000
28,1,17,4211,,10000,1,5,10000
28,1,21,4632,,6000,1,5,6000
28,1,28,5022,,5000,1,6,5000
28,1,13,4632,,4500,1,5,4500
28,1,1,2991,,3000,1,6,3000
28,1,1,3001,,3000,1,6,3000
29,1,16,4397,,415000,1,5,415000
29,1,19,2824,,40000,1,1,40000
29,1,1,2071,45,13500,1,1,13500
