"recno","memnum","a1_1","a1_2","a1_3","a1_4","age","a1_5","a1_6","a1_7","a1_8","a1_9","a2_1","a2_2","a2_3","a2_4","b1_1","b1_2","b1_3","b1_4","b1_5","b1_6","b1_7","b1_8","b1_9","z4","c25_1","c25_2","c25_3","c25_4","c25_5","c25_6","c25_7","c25_8","c25_9","c25_10","e1_2","e1_3","e1_4","e1_5","e1_6","e1_7","e2_2","e2_3","e2_4","e2_5","e2_6","e2_7","e2_8","e2_9","e2_10","e2_11","e2_12","e2_13","e2_14","e2_15","e2_16","e2_17","e2_18","e2_19","e2_20","e2_20drm","c25_11","e2_21","e2_22","e2_22drm","e2_23","e2_24","e2_24drm","e2_25","e2_26","e2_26drm","e2_27","e2_28","e2_28drm","e2_29","e2_30","e2_30drm","e2_31","e2_32","e2_33","e2_34","e2_35","e2_35drm","e2_36","e2_37","e2_38","e3_2","e3_3","e3_4","e3_5","e3_6","e3_7","e3_8","e3_9","i1_1","i1_2","i1_3","i1_4","i1_5","i1_6","i1_7","i1_8","i1_9","i1_10","i1_11","i1_12","i1_13","i1_14","i1_15","i1_16","i1_17","i1_18","i1_19","i1_20","i1_21","i1_22","i1_23","i1_24","i1_25","i1_26","i1_27","i1_28","i1_29","i1_30","i1_31","i1_32","i1_33","i1_34","i1_35","i1_36","i1_37","i2_2","i2_3","i2_4","i2_5","i2_6","i2_7","i2_8","i2_9","i2_10","i2_11","i2_12","i2_13","i2_14","k1_1","k1_2","k1_3","k1_4","k1_5","k1_6","d1_1","d1_2","d1_3","d1_4","d1_5","d1_6","d1_7","d1_8","d1_9","d1_10","d1_11","d1_12","d2_1","d2_2","d2_3","d2_4","d2_5","d2_6","d2_7","d2_8","d2_9","d2_10","date"
3860,2,2,2,8,1985,30,1,3,,,5,,,,,5,,,,,,,,,5,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,15,2,,1,1,10,1,50000,0,0,0,50000,2,2,2,2,,1,4500,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,5,,3,9,5,1,,,1,4,6,4,2,3,2,20,2,,,,,,,,,,,9
3860,3,2,3,12,2003,11,,3,,,3,,,,,,,,,,,,,,5,1,,1,,,,,,,,,,,,,,2,2,1,1,2,1,,1,2,,2,,2,,,,,,,,,,30000,30000,1,20000,20000,1,,,,,,,,,,6,,5,,,,1,2,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3860,4,1,3,11,2010,4,,3,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,1,,1,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,2,,,,,,,1,0,1,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3861,1,2,1,12,1953,61,3,3,,,7,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,3,,3,9,4,1,,,1,4,6,4,2,1,2,20,2,,,,,,,,,,,9
3861,2,1,3,11,1980,34,1,3,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,3,,3,9,4,1,,,9,1,,4,3,1,1,48,1,,,,,,,,,,,9
3861,3,2,4,10,1986,28,1,2,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,7,2,,2,,,,,,,,,,,,,6,1,22100,1,1,3,1,6,2,1,300000,,0,0,0,0,300000,1,2,2,,,,,,,,,,,,,,2,3,,3,9,5,1,,,1,4,6,4,2,1,2,24,2,,,,,,,,,,,9
3861,4,2,5,4,2009,6,,3,,,2,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,0,2,,,1,,1,1,,2,,2,,,,,,,,,,8000,8000,1,5000,5000,1,,,,,,,,,,1,1,5,,,,2,2,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3861,5,2,5,5,2011,4,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,2,,,,,,,1,0,1,16,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3862,1,1,1,11,1966,48,1,2,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,7,,,3,6,2,1,,,79,1,,1,,1,3,60,2,,,,,,,,,,,9
3862,2,2,2,2,1971,44,1,2,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,7,,,3,1,5,2,2,,,,,,,,,,,2,1,1,5,3,13,,,,,9
3862,3,2,3,8,1997,18,2,2,,,5,22,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,0,1,1,3,1,,1,6,,2,,2,,,,,,,,,,20000,20000,1,10000,10000,1,,,,,,,1000,1000,1,6,,1,5000,5000,1,2,1,,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,7,,,3,1,5,2,2,,,,,,,,,,,1,2,,,3,13,,,,,9
3863,1,1,1,10,1984,30,1,2,,,8,,,,,6,6,1,8,2015,1,1,84,1,,1,,1,,,,,,,,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,2,3,,5,6,2,1,,,84,1,,1,,1,1,40,2,,,,,,,,,,,9
3863,2,2,2,5,1985,30,1,2,,,6,,,,,6,6,1,8,2015,2,2,,4,,1,,1,,,,,,,,,,,,,,4,1,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,4,2,,1,1,1,1,5,2,5,,50000,0,0,0,0,50000,1,1,1,,,,,,,,,,,,,,2,3,,5,1,2,2,2,,,,,,,,,,,2,2,,,3,13,,,,,9
3863,3,1,3,11,2010,4,,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,1,,60000,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,1,1,2,2,,0,0,0,,2,2,2,1,,2,,2,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,1,50000,1,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3863,4,2,3,9,2014,1,,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,1,1,2,2,,0,0,0,,2,2,2,1,,2,,2,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,50000,1,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3864,1,2,1,10,1941,73,3,2,,,3,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,30,2,,2,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,5,,6,9,4,2,2,,,,,,,,,,,3,1,1,5,3,13,,,,,9
3865,1,2,1,12,1937,77,3,1,,,7,2,12,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,30,2,,2,,,,,,,,,,,,,1,1,7000,1,1,1,1,10,2,4,,,10000,0,0,0,10000,2,1,2,,,,,,,,,,,,,,2,5,,5,1,5,,,,,,,,,,,,,,,,,,,,,,,9
3866,1,2,1,7,1941,74,4,2,,,7,5,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,30,2,,1,1,1,2,,0,0,0,,1,1,1,2,,1,10000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,5,,6,9,5,2,2,,,,,,,,,,,3,1,3,5,3,13,,,,,9
3867,1,1,1,4,1959,56,3,2,,,8,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,,,4,6,1,1,,,42,1,,4,3,1,3,60,2,,,,,,,,,,,9
3867,2,2,3,8,1988,27,2,2,,,8,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,1,1,1,1,3,2,7,300000,,0,0,0,0,300000,1,2,2,,,,,,,,,,,,,,6,,,4,6,1,1,,,79,1,,4,3,1,3,70,2,,,,,,,,,,,9
3867,3,1,3,4,1987,28,1,2,,,8,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,4,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,,,4,6,2,1,,,95,1,,4,3,1,1,40,1,,,,,,,,,,,9
3867,4,2,4,11,1988,26,1,1,,,8,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,1,1,1,1,3,2,5,150000,60000,0,0,0,0,210000,1,1,2,,,,,,,,,,,,,,6,,,4,6,2,2,2,,,,,,,,,,,5,1,9,2,3,13,,,,,9
3867,5,1,5,3,2015,0,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,1,2,2,,,,,,,1,210000,1,6,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3868,1,2,1,3,1945,70,3,2,,,5,5,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,2,1,3000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,5,,5,9,4,2,2,,,,,,,,,,,3,1,3,5,3,13,,,,,9
3868,2,1,3,3,1975,40,2,2,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,5,6,4,1,,,61,1,,4,3,1,1,40,2,,,,,,,,,,,9
3868,3,1,5,1,1998,17,2,2,,,4,19,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,2,4,2,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,5,4,4,2,1,8,42,2,,4,3,2,1,0,2,,,,,,,,,,,9
3869,1,1,1,8,1959,56,1,2,,,7,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,30,1,30,1,3,1,2,,0,0,0,,1,1,1,3,,1,5000,1,1,1,1,30,2,1,160000,400000,0,0,200000,200000,960000,3,2,2,,,,,,,,,,,,,,1,5,,6,9,2,2,2,,,,,,,,,,,3,1,4,2,3,6,,,2,2,9
3869,2,2,2,8,1964,51,1,2,,,7,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,2,2,,1,1,1,2,,2,1,,,0,0,0,0,,,2,2,,,,,,,,,,,,,,1,5,,6,6,2,1,,,85,1,,3,,1,1,40,1,,,,,,,,,,,9
3869,3,1,3,6,1992,23,2,2,,,7,,,,,4,16,,6,2012,5,2,,4,,1,,1,,,,,,,,,,,,,,5,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,30,1,30,1,3,1,2,,0,0,0,,2,2,2,2,,2,,1,1,1,1,30,2,2,500000,50000,0,0,0,200000,750000,3,2,2,,,,,,,,,,,,,,1,5,,6,9,2,2,2,,,,,,,,,,,5,1,4,2,3,6,,,2,2,9
3869,4,1,3,1,2000,15,,2,,,4,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,5,1,1,2,5,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,5,2,,1,1,1,1,5,2,1,,,0,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,4,2,,,1,,7,2,1,,9
3870,1,1,1,10,1939,75,1,2,,,3,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,30,2,,2,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,5,,6,9,4,2,2,,,,,,,,,,,3,1,1,5,3,13,,,,,9
3870,2,2,2,8,1943,72,1,3,,,3,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,30,2,,2,,,,,,,,,,,,,2,1,2000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,5,,6,9,4,1,,,1,4,6,4,1,3,1,3,2,,,,,,,,,,,9
3871,1,1,1,1,1937,78,1,3,,,5,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,4,6,2,,,,,,,,,,,,,,,,,,,,,,,9
3871,2,2,2,8,1941,74,1,3,,,7,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,4,6,2,1,,,1,4,6,4,2,1,2,20,2,,,,,,,,,,,9
3872,1,1,1,12,1929,85,1,3,,,3,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,4,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,,,4,9,3,,,,,,,,,,,,,,,,,,,,,,,9
3872,2,2,2,7,1929,86,1,3,,,4,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,4,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,,,4,9,3,,,,,,,,,,,,,,,,,,,,,,,9
3873,1,1,1,2,1948,67,1,3,,,8,5,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,4,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,1,1,2000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,4,6,2,1,,,1,4,6,4,1,3,2,10,2,,,,,,,,,,,9
3873,2,2,2,11,1948,66,1,3,,,7,5,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,1,1,4200,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,4,6,2,1,,,1,6,6,4,1,3,2,12,2,,,,,,,,,,,9
3874,1,2,1,3,1935,80,3,3,,,2,5,,,,2,4,1,3,2015,5,2,,4,,,,,,,,,,,,,,,,,,1,2,2,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,1,1,6000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,,,4,6,2,,,,,,,,,,,,,,,,,,,,,,,9
3875,1,1,1,5,1938,77,3,3,,,4,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,1,1,2000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,,,4,9,3,,,,,,,,,,,,,,,,,,,,,,,9
3876,1,1,1,2,1941,74,1,3,,,4,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,2,3,3,6,3,1,,,1,4,6,4,1,1,2,23,2,,,,,,,,,,,9
3876,2,2,2,11,1946,68,1,3,,,4,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,2,3,3,6,3,1,,,1,6,6,4,1,1,2,15,2,,,,,,,,,,,9
3877,1,1,1,2,1937,78,1,3,,,7,5,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,1,1,10000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,4,,,4,6,2,,,,,,,,,,,,,,,,,,,,,,,9
3877,2,2,2,12,1941,73,1,3,,,5,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,1,1,7000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,4,,,4,6,2,1,,,1,4,6,4,1,3,2,15,2,,,,,,,,,,,9
3878,1,1,1,6,1988,27,1,3,,,5,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,4,6,2,1,,,2,1,,1,,1,1,40,2,,,,,,,,,,,9
3878,2,2,2,8,1987,28,1,2,,,6,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,4,2,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,4,6,2,1,,,85,1,,2,,1,1,40,2,,,,,,,,,,,9
3878,3,2,3,12,2011,3,,3,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,1,,33000,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,1,1,7000,2,,,,,,,,,,,,,,,2,2,2,,,,,,,1,0,1,6,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3878,4,1,6,2,1953,62,3,3,,,5,5,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,1,2,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,,,4,6,3,1,,,1,4,6,4,1,1,2,12,2,,,,,,,,,,,9
3879,1,1,1,11,1960,54,1,3,,,8,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,,,4,4,2,1,,,75,1,,1,,1,1,40,2,,,,,,,,,,,9
3879,2,2,2,12,1965,49,1,3,,,8,,,,,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,5,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,6,,,4,4,2,1,,,1,4,6,4,2,1,2,20,2,,,,,,,,,,,9
3880,1,2,1,6,1954,61,4,3,,,7,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,1,1,10000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,5,,4,6,5,1,,,9,1,,4,3,1,1,40,2,,,,,,,,,,,9
3881,1,1,1,12,1974,40,1,3,,,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,2,3,,4,4,2,1,,,84,1,,1,,1,1,56,2,,,,,,,,,,,9
3881,2,2,2,2,1980,35,1,3,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,3,,4,4,5,2,2,,,,,,,,,,,2,2,,,3,13,,,,,9
3881,3,1,3,1,2007,8,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,,1,1,,2,,2,,,,,,,,,,10000,10000,1,,,,,,,,,,,,,1,2,5,,,,2,2,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3881,4,1,3,1,2010,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3881,5,2,3,1,2014,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,2,,1,1,1,2,,0,0,0,,2,2,2,1,,1,10000,2,,,,,,,,,,,,,,,2,2,2,,,,,,,1,0,1,11,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3882,1,2,1,1,1947,68,3,3,,,7,5,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,5,2,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,2,,,,,,,,,,,,,1,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,5,3,3,9,5,2,2,,,,,,,,,,,3,1,3,5,3,13,,,,,9
3882,2,2,4,3,1980,35,3,3,,,7,,,,,5,,,,,,,,,,1,,,1,1,,,,,,,,,,,,5,2,2,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,2,,1,1,1,2,,0,0,0,,2,2,1,2,,1,20000,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,5,,3,6,2,1,,,86,1,,1,,1,1,40,2,,,,,,,,,,,9
3882,3,1,5,9,2001,14,,3,,,3,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,2,4,1,1,2,1,,1,2,,2,,2,,,,,,,,,,17000,17000,1,,,,,,,,,,,,,6,,5,,,,2,2,,,,,,,,,2,,2,,2,,,,,,,,,,,,,5,2,,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
