"recno","y1_1","y1_2","y1_3","y1_3drm","y1_4","y1_5"
178,1,3,49000,49000,1,3
178,1,13,150000,150000,1,3
179,1,3,45500,45500,1,3
180,2,3,24000,24000,1,3
180,4,1,80000,80000,1,3
181,1,1,150000,150000,1,3
181,1,18,50000,16666.6666666667,1,7
181,2,22,120000,40000,1,7
182,1,3,26000,26000,1,3
182,3,2,50000,16666.6666666667,1,7
182,3,19,150000,50000,1,7
183,1,22,250000,83333.3333333333,1,7
184,1,13,80000,80000,1,3
184,3,21,80000,26666.6666666667,1,7
185,1,1,120000,120000,1,3
185,1,22,200000,66666.6666666667,1,7
185,2,3,40000,40000,1,3
186,1,3,38000,38000,1,3
186,2,13,40000,13333.3333333333,1,7
186,2,22,100000,33333.3333333333,1,7
187,1,22,120000,40000,1,7
187,2,5,32000,32000,1,3
188,1,1,100000,100000,1,3
188,3,2,150000,50000,1,7
188,7,2,120000,40000,1,7
188,9,2,150000,50000,1,7
189,1,13,80000,26666.6666666667,1,7
189,1,18,80000,26666.6666666667,1,7
189,1,21,50000,16666.6666666667,1,7
190,1,3,38000,38000,1,3
190,3,2,120000,120000,1,3
191,1,3,28000,28000,1,3
191,2,21,130000,10833.3333333333,1,4
192,1,21,80000,6666.66666666667,1,4
193,2,21,120000,40000,1,7
194,1,21,150000,50000,1,7
194,3,3,22000,22000,1,3
195,1,3,27000,27000,1,3
195,2,21,100000,25000,1,6
196,1,2,70000,70000,1,3
197,3,21,150000,50000,1,7
198,1,3,30000,30000,1,3
198,2,3,45000,45000,1,3
198,3,21,90000,30000,1,7
199,1,1,230000,230000,1,3
200,1,3,37000,37000,1,3
201,1,3,36000,36000,1,3
202,1,2,90000,90000,1,3
202,2,1,82000,82000,1,3
203,1,3,33800,33800,1,3
203,2,2,60000,60000,1,3
203,3,1,52000,52000,1,3
204,1,19,150000,150000,1,3
205,1,3,35000,35000,1,3
205,2,3,34000,34000,1,3
206,1,3,35000,35000,1,3
206,3,1,80000,80000,1,3
207,1,19,100000,100000,1,3
208,1,1,50000,50000,1,3
208,1,3,16000,16000,1,3
209,1,1,650000,650000,1,3
209,2,1,200000,200000,1,3
209,3,1,200000,200000,1,3
210,1,1,50000,50000,1,3
211,1,1,200000,200000,1,3
212,1,3,33000,33000,1,3
212,1,19,30000,10000,1,7
213,1,1,250000,250000,1,3
213,2,8,16000,16000,1,3
214,1,1,200000,200000,1,3
215,1,3,40000,40000,1,3
215,2,1,45000,45000,1,3
215,2,3,22000,22000,1,3
216,1,2,100000,100000,1,3
217,1,3,35000,35000,1,3
217,1,22,100000,100000,1,3
217,3,3,16000,16000,1,3
218,1,1,120000,120000,1,3
218,3,3,18000,18000,1,3
219,1,22,250000,250000,1,3
220,1,13,80000,80000,1,3
221,1,22,200000,200000,1,3
221,2,3,34000,34000,1,3
222,1,3,35000,35000,1,3
222,1,22,50000,50000,1,3
222,3,3,65000,65000,1,3
223,1,22,300000,300000,1,3
224,1,22,300000,300000,1,3
225,1,22,250000,250000,1,3
226,1,3,25000,25000,1,3
226,1,5,22000,22000,1,3
227,1,3,39000,39000,1,3
227,2,22,300,142719,3,3
227,3,5,34000,34000,1,3
228,1,3,45000,45000,1,3
229,1,3,40000,40000,1,3
229,2,1,45000,45000,1,3
229,2,3,35000,35000,1,3
229,3,1,80000,80000,1,3
230,1,3,50000,50000,1,3
230,2,1,100000,100000,1,3
231,2,1,74000,74000,1,3
231,2,19,300,142719,3,3
232,1,3,44000,44000,1,3
232,2,3,38000,38000,1,3
232,3,1,150000,150000,1,3
232,4,1,94000,94000,1,3
233,2,5,35000,35000,1,3
233,2,19,900,428157,3,3
234,1,19,200,95146,3,3
235,1,22,100000,100000,1,3
236,1,22,350000,116666.666666667,1,7
236,2,5,27000,27000,1,3
237,1,22,80000,80000,1,3
237,2,5,28000,28000,1,3
238,1,3,28000,28000,1,3
239,1,1,60000,60000,1,3
239,2,1,60000,60000,1,3
239,3,1,160000,160000,1,3
239,6,5,29000,29000,1,3
240,1,22,200000,200000,1,3
241,1,3,28000,28000,1,3
241,1,22,60000,60000,1,3
241,2,5,29000,29000,1,3
242,1,3,35000,35000,1,3
242,2,3,33000,33000,1,3
243,1,3,20000,20000,1,3
244,1,5,17000,17000,1,3
244,1,19,100,47573,3,3
245,1,1,330000,330000,1,3
245,2,1,280000,280000,1,3
246,2,1,50000,50000,1,3
246,3,1,90000,90000,1,3
247,1,5,22000,22000,1,3
247,2,3,16000,16000,1,3
248,1,3,41000,41000,1,3
248,1,5,17000,17000,1,3
249,1,3,45000,45000,1,3
249,2,3,35000,35000,1,3
250,1,1,120000,120000,1,3
251,3,1,100000,100000,1,3
252,1,3,33000,33000,1,3
252,1,5,17000,17000,1,3
252,2,3,55000,55000,1,3
253,1,22,100000,100000,1,3
253,2,5,35000,35000,1,3
254,1,3,55000,55000,1,3
254,2,1,101000,101000,1,3
254,3,1,45000,45000,1,3
255,1,3,37000,37000,1,3
255,1,5,17000,17000,1,3
255,1,18,15000,15000,1,3
256,1,1,150000,150000,1,3
256,4,8,18000,18000,1,3
257,1,3,34500,34500,1,3
258,1,22,500000,500000,1,3
258,3,1,270000,270000,1,3
259,1,3,33000,33000,1,3
259,1,19,400,190292,3,3
260,1,2,10000,10000,1,3
260,1,3,38300,38300,1,3
260,1,5,17000,17000,1,3
261,1,1,40000,40000,1,3
261,1,3,28000,28000,1,3
261,2,1,40000,40000,1,3
261,2,5,24000,24000,1,3
262,1,5,41000,41000,1,3
262,2,21,25000,8333.33333333333,1,7
263,1,3,41000,41000,1,3
263,1,5,17000,17000,1,3
263,1,21,15000,3750,1,6
264,1,13,30000,10000,1,7
264,3,1,65000,65000,1,3
265,1,3,30000,30000,1,3
265,1,5,29500,29500,1,3
266,1,3,42000,42000,1,3
266,2,3,43000,43000,1,3
267,1,3,42000,42000,1,3
268,1,3,32000,32000,1,3
268,2,3,37000,37000,1,3
269,1,3,27000,27000,1,3
269,1,13,16000,5333.33333333333,1,7
269,3,21,200000,66666.6666666667,1,7
270,1,6,17000,2833.33333333333,1,5
270,1,19,200,31715.3333333333,3,7
271,1,3,38000,38000,1,3
272,1,3,18000,18000,1,3
272,4,1,100000,100000,1,3
272,6,3,46000,46000,1,3
273,1,2,20000,20000,1,3
273,2,5,45000,45000,1,3
273,3,3,18000,18000,1,3
274,1,1,150000,150000,1,3
275,1,1,86000,86000,1,3
276,1,1,153000,153000,1,3
277,1,3,44000,44000,1,3
277,1,5,16000,16000,1,3
278,1,3,44000,44000,1,3
278,2,3,29500,29500,1,3
278,3,1,70000,70000,1,3
279,1,18,15000,15000,1,3
280,2,13,30000,10000,1,7
281,1,1,40000,40000,1,3
281,1,3,39000,39000,1,3
282,1,3,38800,38800,1,3
283,1,3,35000,35000,1,3
284,1,13,30000,10000,1,7
284,3,1,80000,80000,1,3
285,1,3,47000,47000,1,3
286,1,21,25000,8333.33333333333,1,7
286,1,22,3000,7410,2,7
287,1,1,49500,49500,1,3
288,1,3,34000,34000,1,3
288,2,5,17000,17000,1,3
289,1,22,40000,98800,2,7
289,2,1,85000,85000,1,3
290,1,3,26000,26000,1,3
290,1,5,32000,32000,1,3
290,1,22,85000,28333.3333333333,1,7
290,2,1,55000,55000,1,3
290,7,3,41000,41000,1,3
291,1,22,150000,12500,1,4
292,1,5,35000,35000,1,3
292,1,19,25000,185250,2,3
293,1,1,150000,150000,1,3
293,1,3,40000,40000,1,3
293,3,1,100000,100000,1,3
294,1,1,150000,150000,1,3
294,1,5,28000,28000,1,3
295,1,22,100000,123500,2,5
295,2,1,51000,51000,1,3
295,2,3,43000,43000,1,3
296,1,1,201000,201000,1,3
296,1,3,33000,33000,1,3
296,1,19,60000,37050,2,4
296,1,19,100,15857.6666666667,3,7
297,1,3,23000,23000,1,3
