"recno","date","day","x5_1","x5_2","x5_3","x5_4"
4295,10,14,4482,,400,3
4303,10,1,4211,,4000,5
4305,10,1,4211,,2000,5
4306,10,15,4211,,1600,5
4308,10,1,2831,,15000,1
4308,10,1,4211,,4200,5
4311,10,1,4211,,3360,5
4313,10,18,4211,,1146,5
4314,10,15,4211,,45537,5
4320,10,20,4211,,1043,5
4354,11,2,2991,,5000,3
4377,11,11,2535,2,1100,1
4400,11,18,3526,1,1400,1
4400,11,18,3503,1,1800,1
4409,11,10,2831,,8900,4
4410,11,14,2831,,4800,4
4410,11,19,2831,1,2000,4
4424,11,2,2371,4,80000,1
4443,11,23,2782,2,260,1
4443,11,23,2787,3,750,1
