"recno","f2_row","f2_1","f2_2","f2_3","f2_4","f2_5","f2_6","f2_7","f2_8","f2_9","f2_10","f2_11","f2_12","f2_13","f2_14"
1529,12,5,5,10000,,,,,,,,,,,
1549,1,4,,,1,150000,1,40,100000,40,100000,1,2,,40
1549,2,2,,,,,,,,,,,,,
1549,3,,,,,,1,40,100000,40,100000,1,2,,40
1549,4,2,,,1,150000,,,,,,1,,,
1549,11,20,,,,,10,,,15,30000,,,,
1549,12,20,,,,,10,,,15,30000,,,,
1550,1,4,,,1,120000,,,,,,2,,,
1550,4,2,,,1,120000,,,,,,2,,,
1550,6,1,1,30000,,,,,,,,,,,
1550,8,1,1,30000,,,,,,,,,,,
1550,11,12,,,,,,,,,,,,,
1550,12,12,,,,,,,,,,,,,
1551,1,9,,,3,630000,1,45,100000,30,75000,2,3,,45
1551,2,6,,,,,,,,,,,,,
1551,3,,,,3,630000,1,45,100000,30,75000,2,3,,45
1551,4,3,,,,,,,,,,,,,
1551,6,1,1,27000,,,,,,,,,,,
1551,8,1,1,27000,,,,,,,,,,,
1551,10,1,,,,,,,,,,,,,
1551,11,20,,,,,4,,,8,16000,,,,
1551,12,20,,,,,4,,,8,16000,,,,
1551,13,2,2,6000,,,,,,,,,,,
1551,14,2,2,6000,,,,,,,,,,,
1552,1,8,,,2,340000,,,,,,1,3,,
1552,2,4,,,,,,,,,,,,,
1552,4,4,,,2,340000,,,,,,1,3,,
1552,6,,2,50000,,,1,40,120000,40,136000,2,,,20
1552,8,,2,50000,,,,,,,,,,,
1553,1,2,,,,,,,,,,,,,
1553,2,1,,,,,,,,,,,,,
1553,4,1,,,,,,,,,,,,,
1553,11,7,,,,,,,,,,,,,
1553,12,7,,,,,,,,,,,,,
1555,1,4,,,2,200000,,,,,,1,2,,
1555,2,2,,,,,,,,,,,,,
1555,4,2,,,2,200000,,,,,,1,2,,
1555,11,7,,,,,,,,,,,,,
1555,12,7,,,,,,,,,,,,,
1556,1,,1,70000,,,1,30,66000,40,100000,2,,,20
1556,4,,1,70000,,,1,30,66000,40,100000,2,,,20
1556,6,2,2,75000,,,2,50,180000,40,144000,2,,,20
1556,8,2,2,75000,,,,,,,,,,,
1556,11,7,,,,,4,,,8,16000,,,,
1556,12,7,,,,,4,,,8,16000,,,,
1556,13,2,,,,,2,,,6,18000,,,,
1556,14,2,,,,,2,,,6,18000,,,,
1557,1,3,,,,,2,100,220000,50,110000,2,9,,20
1557,2,1,,,,,,,,,,,,,
1557,3,1,,,,,,,,,,,,,
1557,4,1,,,,,2,100,220000,50,110000,2,9,,20
1557,11,6,,,,,3,,,5,9000,,,,
1557,12,6,,,,,3,,,5,9000,,,,
1558,1,2,,,,,,,,,,,,,
1558,2,1,,,,,,,,,,,,,
1558,4,1,,,,,,,,,,,,,
1558,11,10,,,,,2,,,3,4500,,,,
1558,12,10,,,,,2,,,3,4500,,,,
1559,1,3,,,,,,,,,,,,,
1559,2,2,,,,,,,,,,,,,
1559,3,1,,,,,,,,,,,,,
1559,6,1,,,,,1,40,92000,30,69000,2,,,
1559,11,8,,,,,4,,,6,9000,,,,
1559,12,8,,,,,4,,,6,9000,,,,
1560,1,1,,,,,,,,,,,,,
1560,2,1,,,,,,,,,,,,,
1561,1,1,,,1,110000,,,,,,2,,,
1561,2,1,,,,,,,,,,,,,
1561,4,,,,1,110000,,,,,,2,,,
1561,11,11,,,,,,,,,,,,,
1561,12,11,,,,,,,,,,,,,
1562,1,2,,,,,,,,,,,,,
1562,2,1,,,,,,,,,,,,,
1562,4,1,,,,,,,,,,,,,
1562,11,6,,,,,,,,,,,,,
1562,12,6,,,,,,,,,,,,,
1563,11,10,,,,,2,,,4,6000,,,,
1563,12,10,,,,,2,,,4,6000,,,,
1564,1,5,,,1,120000,,,,,,2,,,
1564,2,2,,,,,,,,,,,,,
1564,3,1,,,,,,,,,,,,,
1564,4,2,,,1,120000,,,,,,2,,,
1564,6,2,,,,,1,,,50,100000,,,,
1564,8,2,,,,,,,,,,,,,
1564,11,10,,,,,4,,,6,9000,,,,
1564,12,10,,,,,4,,,6,9000,,,,
1572,11,25,,,,,,,,,,,,,
1572,12,25,,,,,,,,,,,,,
1574,11,10,,,,,,,,,,,,,
1574,12,10,,,,,,,,,,,,,
1602,1,1,,,,,1,130,234000,10,18000,2,,,
1602,2,1,,,,,,,,,,,,,
1602,3,,,,,,1,130,234000,10,18000,2,,,
1602,11,5,,,,,,,,,,,,,
1602,12,5,,,,,,,,,,,,,
1630,1,3,,,1,210000,,,,,,2,,,
1630,2,1,,,,,,,,,,,,,
1630,3,1,,,1,210000,,,,,,2,,,
1630,4,1,,,,,,,,,,,,,
1630,9,4,,,3,130000,,,,,,2,,,
1630,11,13,25,30000,,,15,,,25,40000,,,,
1630,12,10,,,,,,,,,,,,,
1631,9,12,,,6,200000,,,,,,2,,,
1631,11,5,10,15000,,,5,,,10,15000,,,,
1631,12,4,,,,,,,,,,,,,
1633,1,5,,,1,240000,,,,,,2,,,
1633,2,2,,,1,240000,,,,,,2,,,
1633,3,1,,,,,,,,,,,,,
1633,4,2,,,,,,,,,,,,,
