"recno","weight"
1065,192.157407407407
1066,192.157407407407
1067,192.157407407407
1068,192.157407407407
1069,192.157407407407
1070,192.157407407407
1071,192.157407407407
1072,109.824074074074
1073,109.824074074074
1074,109.824074074074
1075,109.824074074074
1076,109.824074074074
1077,109.824074074074
1078,109.824074074074
1079,109.824074074074
1080,109.824074074074
1081,156.842592592593
1082,156.842592592593
1083,156.842592592593
1084,156.842592592593
1085,156.842592592593
1086,156.842592592593
1087,156.842592592593
1088,156.842592592593
1089,156.842592592593
1090,192.638888888889
1091,192.638888888889
1092,192.638888888889
1093,192.638888888889
1094,192.638888888889
1095,192.638888888889
1096,192.638888888889
1097,192.638888888889
1098,192.638888888889
1099,156.842592592593
1100,156.842592592593
1101,156.842592592593
1102,156.842592592593
1103,156.842592592593
1104,156.842592592593
1105,156.842592592593
1106,156.842592592593
1107,156.842592592593
1108,156.33024691358
1109,156.33024691358
1110,156.33024691358
1111,156.33024691358
1112,156.33024691358
1113,156.33024691358
1114,156.33024691358
1115,156.33024691358
1116,156.33024691358
1117,146.666666666667
1118,146.666666666667
1119,146.666666666667
1120,146.666666666667
1121,146.666666666667
1122,146.666666666667
1123,146.666666666667
1124,146.666666666667
1125,146.666666666667
1126,156.33024691358
1127,156.33024691358
1128,156.33024691358
1129,156.33024691358
1130,156.33024691358
1131,156.33024691358
1132,156.33024691358
1133,156.33024691358
1134,156.33024691358
1135,156.33024691358
1136,156.33024691358
1137,156.33024691358
1138,156.33024691358
1139,156.33024691358
1140,156.33024691358
1141,156.33024691358
1142,156.33024691358
1143,156.33024691358
1144,146.666666666667
1145,146.666666666667
1146,146.666666666667
1147,146.666666666667
1148,146.666666666667
1149,146.666666666667
1150,146.666666666667
1151,146.666666666667
1152,146.666666666667
1153,259.527777777778
1154,259.527777777778
1155,259.527777777778
1156,259.527777777778
1157,259.527777777778
1158,259.527777777778
1159,259.527777777778
1160,259.527777777778
1161,259.527777777778
1162,199.569444444444
1163,199.569444444444
1164,199.569444444444
1165,199.569444444444
1166,199.569444444444
1167,199.569444444444
1168,199.569444444444
1169,199.569444444444
1170,199.569444444444
1171,199.569444444444
1172,199.569444444444
1173,199.569444444444
1174,199.569444444444
1175,199.569444444444
1176,199.569444444444
1177,199.569444444444
1178,199.569444444444
1179,199.569444444444
1180,185.768518518519
1181,185.768518518519
1182,185.768518518519
1183,185.768518518519
1184,185.768518518519
1185,185.768518518519
1186,185.768518518519
1187,185.768518518519
1188,185.768518518519
