recno,date,region,household_size,area_type,weight,year,household_has_special_education_children,housing_type,dwelling_ownership,number_of_rooms,dwelling_space_sqm,moved_last_5_years,has_centralized_water,has_hot_water,has_centralized_sanitation,has_local_sanitation,has_outside_toilet,has_gas,has_bathtub_shower,has_kitchen,has_telephone,has_radio,has_electricity,has_mobile,has_computer,has_internet,water_source,water_tap_location,potable_water_hours_day,potable_water_24h,main_heating_energy,heating_spend_last_winter_amd,garbage_disposal,complaint_floor_space,complaint_noise,complaint_light,complaint_heating,complaint_humidity,complaint_leaking_roof,complaint_walls_floor,complaint_windows_doors,complaint_traffic,complaint_pollution,complaint_elevator,complaint_water_supply,complaint_garbage,complaint_common_areas,complaint_green_areas,complaint_other,dwelling_condition_estimate,dwelling_renovated,building_new_house,has_other_dwelling,any_member_household_own_work,engaged_cattle_breeding,id_number_household_member_who_11,household_sent_money_goods_12m,household_received_money_goods_12m,lent_money_12m,family_debt_amount,borrowed_money_12m,registered_poverty_benefit,reason_not_registered_benefit,benefit_system_justified,share_families_really_vulnerable,humanitarian_assistance_12m,money_family_need_monthly_live,drm_in_amd,drm_in_amd_2,money_family_need_monthly_make,amd_3,household_has_car,eligible_salary_pension_not_received,hired_household_workers_12m,food_which_usually_consumed_daily,food_which_usually_consumed_daily_2,food_which_usually_consumed_daily_3,food_which_usually_consumed_daily_5,food_which_usually_consumed_daily_8,sample_weight,household_member_count,household_mean_age,household_income_total,household_income_source_count,food_purchases_total,services_goods_total,goods_services_total
31,1,1,2,0,24.0277777777778,2015,2,1,1,2.0,60.0,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1.0,31.0,24.0,3,100000.0,3,2,2,1,2,2,2,1,1,2,2,3,1,2,3,2,2,3,2,2,4,2,2,,2,1,2,0,2,4,6.0,2,5,2,0,400000,100000,1.0,100000.0,2,2,2,0.3,30.0,0.5,30.0,,24.0277777777778,2,89.5,100000.0,2.0,105661.06,218637.0,200754.0
32,1,1,4,0,24.0277777777778,2015,2,1,1,2.0,50.0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1.0,31.0,24.0,6,7.0,3,1,2,1,1,1,1,1,2,2,2,3,2,2,3,2,2,3,2,2,4,2,2,,2,1,2,100000,1,4,3.0,1,1,2,0,800000,200000,1.0,200000.0,2,1,2,1.0,45.0,0.5,45.0,100.0,24.0277777777778,4,28.0,200000.0,2.0,131061.675,122645.0,748.0
33,1,1,8,0,24.0277777777778,2015,2,1,1,4.0,80.0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1.0,31.0,24.0,3,200000.0,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,4,2,2,1.0,1,1,2,1450000,1,4,3.0,1,1,2,0,5000000,500000,1.0,500000.0,1,2,2,1.0,50.0,1.0,50.0,100.0,24.0277777777778,8,24.875,400000.0,5.0,230251.35,1909123.0,1500743.0
34,1,1,6,0,24.0277777777778,2015,2,1,1,7.0,180.0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1.0,31.0,24.0,6,7.0,3,2,2,2,2,1,2,2,1,2,2,3,2,1,3,1,2,3,1,2,4,1,2,2.0,1,1,2,0,2,4,3.0,1,1,2,10000000,900000,260000,1.0,260000.0,1,2,2,1.0,40.0,1.0,40.0,,24.0277777777778,6,39.5,236650.0,5.0,102437.3,249474.0,3707864.0
35,1,1,1,0,24.0277777777778,2015,2,1,1,1.0,30.0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1.0,31.0,24.0,3,100000.0,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,4,2,2,,1,1,2,0,2,4,1.0,1,1,2,0,5000,100000,1.0,100000.0,1,2,2,0.2,20.0,0.2,20.0,,24.0277777777778,1,62.0,100000.0,1.0,173024.05,488506.0,749.0
36,1,1,2,0,24.0277777777778,2015,2,1,1,2.0,100.0,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1.0,31.0,24.0,3,160000.0,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,4,2,2,1.0,1,1,2,30000,1,4,3.0,1,1,2,1600000,600000,220000,1.0,220000.0,2,2,2,0.35,30.0,0.4,30.0,,24.0277777777778,2,36.0,130000.0,2.0,137113.75,1195860.0,940747.0
37,1,1,2,0,326.87962962963,2015,2,2,1,1.0,28.0,2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,1,1.0,30.0,24.0,2,30000.0,3,1,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,4,3,2,4,2,2,,2,2,2,0,2,4,4.0,3,3,2,1000000,800000,500000,1.0,500000.0,2,2,2,0.5,20.0,0.2,30.0,100.0,326.87962962963,2,62.5,60000.0,1.0,70736.8,229875.0,753.0
38,1,1,1,0,326.87962962963,2015,2,2,1,1.0,28.0,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1.0,30.0,24.0,2,20000.0,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,2,2,4,2,2,,2,1,2,0,2,4,5.0,4,6,2,400000,300000,200000,1.0,200000.0,2,2,2,0.5,20.0,0.2,,50.0,326.87962962963,1,92.0,34000.0,1.0,43810.41,55469.0,757.0
39,1,1,1,0,326.87962962963,2015,2,2,1,2.0,72.0,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1.0,30.0,24.0,3,45000.0,3,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,3,3,2,4,2,2,,2,1,2,0,2,3,,1,2,2,500000,300000,200000,1.0,200000.0,2,2,2,0.5,20.0,0.2,10.0,100.0,326.87962962963,1,87.0,48000.0,1.0,48469.2,109019.0,751.0
40,1,1,4,0,326.87962962963,2015,2,2,1,3.0,62.0,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1.0,30.0,24.0,2,45000.0,3,2,2,1,2,2,2,2,2,2,2,3,2,2,1,1,2,3,2,2,4,2,2,2.0,2,1,2,500000,1,4,3.0,3,6,2,800000,500000,400000,1.0,400000.0,1,2,2,1.0,30.0,0.9,20.0,200.0,326.87962962963,4,36.5,205000.0,3.0,173026.85,466553.0,747.0
