marz,date,year,month,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k
Armavir,2018-02-01,2018,2,23.416666666666742,0.9249999999999773,76.58333333333326,264557.25000000006,561.8333333333262,780.1666666666611,617.2500000000034,8.33333333333303,1607.3333333333276,201.58333333333007,191.83333333333076,52.0,893.666666666667,355.0,13024.333333333176,4.0,391.9999999999982,60.91666666666674,607.5622599649887,212.37488445488074,1.511960926954073,13.418653226717398
Armavir,2018-03-01,2018,3,23.333333333333258,0.9500000000000227,76.66666666666674,264497.49999999994,569.6666666666738,786.3333333333389,613.4999999999966,8.66666666666697,1613.6666666666724,205.16666666666993,194.66666666666924,52.0,893.333333333333,355.0,13197.666666666824,4.0,394.0000000000018,60.83333333333326,610.0991436314092,215.39058185829532,1.5123031748361295,13.42169067667065
Armavir,2018-04-01,2018,4,23.25,0.975,76.75,264437.75,577.5,792.5,609.75,9.0,1620.0,208.75,197.5,52.0,893.0,355.0,13371.0,4.0,396.0,60.75,612.6360272978229,218.40627926170166,1.5126454227181851,13.424728126623894
Armavir,2018-05-01,2018,5,23.166666666666742,0.9999999999999772,76.83333333333326,264378.00000000006,585.3333333333262,798.6666666666611,606.0000000000034,9.33333333333303,1626.3333333333276,212.33333333333007,200.33333333333076,52.0,892.666666666667,355.0,13544.333333333176,4.0,397.9999999999982,60.66666666666674,615.1729109642365,221.421976665108,1.5129876706002408,13.427765576577135
Armavir,2018-06-01,2018,6,23.083333333333258,1.0250000000000228,76.91666666666674,264318.24999999994,593.1666666666738,804.8333333333389,602.2499999999966,9.66666666666697,1632.6666666666724,215.91666666666993,203.16666666666924,52.0,892.333333333333,355.0,13717.666666666824,4.0,400.0000000000018,60.58333333333326,617.709794630657,224.43767406852257,1.5133299184822973,13.430803026530388
Armavir,2018-07-01,2018,7,23.0,1.05,77.0,264258.5,601.0,811.0,598.5,10.0,1639.0,219.5,206.0,52.0,892.0,355.0,13891.0,4.0,402.0,60.5,620.2466782970707,227.4533714719289,1.5136721663643526,13.433840476483631
Armavir,2018-08-01,2018,8,22.916666666666742,1.0749999999999773,77.08333333333326,264198.75000000006,608.8333333333262,817.1666666666611,594.7500000000034,10.33333333333303,1645.3333333333276,223.08333333333007,208.83333333333076,52.0,891.666666666667,355.0,14064.333333333176,4.0,403.9999999999982,60.41666666666674,622.7835619634844,230.46906887533527,1.5140144142464083,13.436877926436875
Armavir,2018-09-01,2018,9,22.833333333333258,1.1000000000000227,77.16666666666674,264138.99999999994,616.6666666666738,823.3333333333389,590.9999999999966,10.66666666666697,1651.6666666666724,226.66666666666993,211.66666666666924,52.0,891.333333333333,355.0,14237.666666666824,4.0,406.0000000000018,60.33333333333326,625.320445629905,233.48476627874982,1.5143566621284648,13.439915376390127
Armavir,2018-10-01,2018,10,22.75,1.125,77.25,264079.25,624.5,829.5,587.25,11.0,1658.0,230.25,214.5,52.0,891.0,355.0,14411.0,4.0,408.0,60.25,627.8573292963185,236.50046368215618,1.5146989100105204,13.442952826343369
Armavir,2018-11-01,2018,11,22.666666666666742,1.1499999999999773,77.33333333333326,264019.50000000006,632.3333333333262,835.6666666666611,583.5000000000034,11.33333333333303,1664.3333333333276,233.83333333333007,217.33333333333076,52.0,890.666666666667,355.0,14584.333333333176,4.0,409.9999999999982,60.16666666666674,630.3942129627322,239.51616108556252,1.515041157892576,13.445990276296612
Armavir,2018-12-01,2018,12,22.583333333333258,1.1750000000000227,77.41666666666674,263959.74999999994,640.1666666666738,841.8333333333389,579.7499999999966,11.66666666666697,1670.6666666666724,237.41666666666993,220.16666666666924,52.0,890.333333333333,355.0,14757.666666666824,4.0,412.0000000000018,60.08333333333326,632.9310966291528,242.5318584889771,1.5153834057746325,13.449027726249865
Armavir,2019-01-01,2019,1,22.5,1.2,77.5,263900.0,648.0,848.0,576.0,12.0,1677.0,241.0,223.0,52.0,890.0,355.0,14931.0,4.0,414.0,60.0,635.4679802955665,245.54755589238343,1.515725653656688,13.452065176203108
