marz,date,year,month,day,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k
Armavir,2016-02-19,2016,2,19,29.486781609195333,1.4054597701149296,70.51321839080467,266497.6609195402,376.6465517241384,653.7011494252877,463.48275862069056,11.405172413793158,1317.3189655172425,188.72988505747122,196.45977011494244,52.0,966.2212643678149,355.0,13278.913793103437,4.0,401.51436781609175,61.0,494.31819972412944,141.33600058292743,1.5009530649669067,13.320958451581298
Armavir,2016-02-20,2016,2,20,29.47586206896543,1.4034482758620526,70.52413793103457,266495.2068965517,376.7241379310351,653.7586206896557,463.6206896551735,11.413793103448347,1317.517241379312,188.72413793103445,196.44827586206887,52.0,966.0344827586191,355.0,13277.103448275848,4.0,401.4827586206894,61.0,494.3973373141107,141.36648664830793,1.5009669187797223,13.321081404170036
Armavir,2016-02-21,2016,2,21,29.464942528735524,1.4014367816091753,70.53505747126448,266492.7528735632,376.8017241379318,653.8160919540236,463.75862068965654,11.422413793103534,1317.7155172413813,188.71839080459765,196.4367816091953,52.0,965.8477011494234,355.0,13275.293103448257,4.0,401.45114942528704,61.0,494.476474904092,141.39697271368843,1.500980772592538,13.321204356758775
Armavir,2016-02-22,2016,2,22,29.454022988505617,1.399425287356298,70.54597701149439,266490.2988505747,376.8793103448285,653.8735632183915,463.89655172413956,11.431034482758722,1317.9137931034506,188.71264367816084,196.4252873563217,52.0,965.6609195402277,355.0,13273.482758620668,4.0,401.41954022988466,61.0,494.5556124940733,141.42745877906893,1.5009946264053537,13.321327309347515
Armavir,2016-02-23,2016,2,23,29.443103448275714,1.3974137931034207,70.5568965517243,266487.8448275862,376.9568965517252,653.9310344827594,464.0344827586226,11.43965517241391,1318.11206896552,188.70689655172407,196.4137931034481,52.0,965.4741379310319,355.0,13271.67241379308,4.0,401.38793103448234,61.0,494.6347500840546,141.45794484444943,1.5010084802181693,13.321450261936253
Armavir,2016-02-24,2016,2,24,29.432183908045808,1.3954022988505437,70.5678160919542,266485.3908045977,377.0344827586219,653.9885057471273,464.1724137931056,11.4482758620691,1318.3103448275892,188.70114942528727,196.40229885057454,52.0,965.2873563218362,355.0,13269.862068965489,4.0,401.35632183907995,61.0,494.71388767403585,141.48843090982993,1.501022334030985,13.321573214524992
Armavir,2016-02-25,2016,2,25,29.421264367815905,1.3933908045976664,70.5787356321841,266482.9367816092,377.1120689655186,654.0459770114952,464.3103448275886,11.456896551724286,1318.5086206896585,188.69540229885047,196.39080459770096,52.0,965.1005747126404,355.0,13268.0517241379,4.0,401.3247126436776,61.0,494.79302526401716,141.51891697521043,1.5010361878438006,13.32169616711373
Armavir,2016-02-26,2016,2,26,29.410344827585998,1.3913793103447891,70.589655172414,266480.48275862064,377.18965517241526,654.1034482758631,464.4482758620716,11.465517241379475,1318.7068965517278,188.6896551724137,196.37931034482736,52.0,964.9137931034447,355.0,13266.241379310311,4.0,401.29310344827525,61.0,494.8721628539984,141.54940304059093,1.5010500416566162,13.32181911970247
Armavir,2016-02-27,2016,2,27,29.399425287356095,1.3893678160919118,70.6005747126439,266478.02873563214,377.26724137931194,654.1609195402311,464.5862068965546,11.474137931034663,1318.9051724137973,188.6839080459769,196.36781609195378,52.0,964.7270114942489,355.0,13264.43103448272,4.0,401.2614942528729,61.0,494.95130044397973,141.57988910597143,1.5010638954694318,13.321942072291208
Armavir,2016-02-28,2016,2,28,29.38850574712619,1.3873563218390348,70.61149425287381,266475.57471264363,377.3448275862087,654.218390804599,464.7241379310376,11.482758620689852,1319.1034482758666,188.6781609195401,196.3563218390802,52.0,964.5402298850532,355.0,13262.620689655132,4.0,401.22988505747054,61.0,495.030438033961,141.61037517135193,1.5010777492822476,13.322065024879947
