marz,year,poverty_rate,extreme_poverty_rate,non_poor_rate,population,crime_selected_total,Number of minor offense,Number of moderately serious offense,Number of particulary serious offences,crime_total,Number of serious offences,Annual average occupancy of a bed,Number of ambulatory clinics in rural communities,Number of avarage medical personnel,beds,Number of hospitalized patients,hospitals,Number of physicians,"Number of primary health care (PHC) service providers (except OMCs, private medical and dental offices)",crime_rate_per_100k,crime_selected_rate_per_100k,hospitals_per_100k,beds_per_10k,z_poverty,z_crime,z_hospitals,z_health_inverted,stress_index
Aragatsotn,2022,7.9,0.0,92.1,124646.0,292.0,574.0,411.0,49.0,1161.0,127.0,182.0,16.0,519.0,180.0,6096.0,5.0,279.0,24.0,931.4378319400544,234.2634340452161,4.011360172007125,14.440896619225647,-1.7270155096151583,0.852083642867478,-0.13722355683855017,0.13722355683855017,-0.46362766452008425
Ararat,2022,23.8,1.0,76.2,256615.0,719.0,1279.0,605.0,37.0,2167.0,246.0,243.0,50.0,853.0,480.0,16711.0,5.0,454.0,58.0,844.4557021218557,280.186271262397,1.9484441673323851,18.7050640063909,-0.2770188778624231,0.5357705631263452,-1.4954080034146477,1.4954080034146477,1.1024370319991392
Armavir,2022,40.8,4.0,59.2,264383.0,741.0,1026.0,789.0,52.0,2161.0,294.0,220.0,52.0,830.0,371.0,15438.0,3.0,416.0,60.0,817.3747933868668,280.2752068022528,1.1347174364463677,14.032672297386746,1.273291986275721,0.4372900400343406,-2.0311501214398837,2.0311501214398837,2.3515670267218645
Gegharkunik,2022,33.9,4.7,66.1,227778.0,286.0,628.0,487.0,32.0,1339.0,192.0,263.0,30.0,799.0,730.0,14746.0,7.0,369.0,40.0,587.8530850213805,125.56085311136282,3.073167733494894,32.04874922073247,0.6440481649490625,-0.39737241985570604,-0.7549115165010295,0.7549115165010295,0.6294677132798884
Lori,2022,18.6,0.2,81.4,211677.0,688.0,1388.0,822.0,62.0,2613.0,341.0,248.0,17.0,1019.0,466.0,20978.0,6.0,541.0,40.0,1234.4279255658384,325.02350278962757,2.834507291770008,22.01467329941373,-0.7512316127752672,1.953916051962777,-0.9120409872255678,0.9120409872255678,1.3290418413070384
Kotayk,2022,26.1,2.0,73.9,251076.0,854.0,1275.0,906.0,29.0,2519.0,309.0,213.0,30.0,1002.0,498.0,15001.0,10.0,614.0,45.0,1003.2818748108142,340.1360544217687,3.982857780114388,19.834631744969652,-0.06727093742020349,1.113346623079643,-0.15598898658518479,0.15598898658518479,0.7554617849750451
Shirak,2022,41.6,3.1,58.4,230340.0,379.0,924.0,534.0,35.0,1752.0,259.0,160.0,12.0,1249.0,753.0,20774.0,11.0,578.0,33.0,760.6147434227663,164.5393765737605,4.7755491881566385,32.69080489710862,1.3462477916469282,0.2308804447768924,0.36590387715613015,-0.36590387715613015,0.7612183750055439
Syunik,2022,5.4,0.0,94.6,134731.0,335.0,415.0,313.0,42.0,977.0,207.0,196.0,9.0,682.0,432.0,10340.0,7.0,247.0,16.0,725.1486294913568,248.6435935308133,5.195537775270725,32.06389027024219,-1.9550024014001794,0.10190687575137425,0.64241633111218,-0.64241633111218,-1.5683547526728963
Vayots Dzor,2022,15.7,0.0,84.3,47584.0,112.0,173.0,175.0,29.0,422.0,45.0,101.0,5.0,198.0,85.0,1931.0,3.0,111.0,8.0,886.8527236045729,235.37323470073977,6.304640215198386,17.863147276395427,-1.015696407245892,0.6899485818191391,1.3726281672488914,-1.3726281672488914,-1.0673786432718657
Tavush,2022,37.4,1.3,62.6,119759.0,200.0,410.0,346.0,13.0,897.0,128.0,205.0,18.0,518.0,216.0,8986.0,7.0,276.0,28.0,749.00425020249,167.00206247547158,5.845072186641505,18.03622274735093,0.9632298134480922,0.18865854384741243,1.0700573659583124,-1.0700573659583124,0.05142833676863262
