category,marz,year,value
Number of serious offences,Gegharkunik,2021,127.0
Number of serious offences,Gegharkunik,2022,192.0
Number of serious offences,Gegharkunik,2023,169.0
Number of serious offences,Gegharkunik,2024,111.0
Number of serious offences,Lori,2016,144.0
Number of serious offences,Lori,2017,132.0
Number of serious offences,Lori,2018,232.0
Number of serious offences,Lori,2019,247.0
Number of serious offences,Lori,2020,337.0
Number of serious offences,Lori,2021,326.0
Number of serious offences,Lori,2022,341.0
Number of serious offences,Lori,2023,349.0
Number of serious offences,Lori,2024,447.0
Number of serious offences,Kotayk,2016,297.0
Number of serious offences,Kotayk,2017,215.0
Number of serious offences,Kotayk,2018,292.0
Number of serious offences,Kotayk,2019,422.0
Number of serious offences,Kotayk,2020,397.0
Number of serious offences,Kotayk,2021,376.0
Number of serious offences,Kotayk,2022,309.0
Number of serious offences,Kotayk,2023,413.0
Number of serious offences,Kotayk,2024,315.0
Number of serious offences,Shirak,2016,162.0
Number of serious offences,Shirak,2017,177.0
Number of serious offences,Shirak,2018,208.0
Number of serious offences,Shirak,2019,231.0
Number of serious offences,Shirak,2020,233.0
Number of serious offences,Shirak,2021,191.0
Number of serious offences,Shirak,2022,259.0
Number of serious offences,Shirak,2023,478.0
Number of serious offences,Shirak,2024,504.0
Number of serious offences,Syunik,2016,109.0
Number of serious offences,Syunik,2017,78.0
Number of serious offences,Syunik,2018,112.0
Number of serious offences,Syunik,2019,148.0
Number of serious offences,Syunik,2020,129.0
Number of serious offences,Syunik,2021,161.0
Number of serious offences,Syunik,2022,207.0
Number of serious offences,Syunik,2023,203.0
Number of serious offences,Syunik,2024,237.0
Number of serious offences,Vayots Dzor,2016,16.0
Number of serious offences,Vayots Dzor,2017,10.0
Number of serious offences,Vayots Dzor,2018,26.0
Number of serious offences,Vayots Dzor,2019,26.0
Number of serious offences,Vayots Dzor,2020,26.0
Number of serious offences,Vayots Dzor,2021,43.0
Number of serious offences,Vayots Dzor,2022,45.0
Number of serious offences,Vayots Dzor,2023,39.0
Number of serious offences,Vayots Dzor,2024,57.0
Number of serious offences,Tavush,2016,56.0
Number of serious offences,Tavush,2017,51.0
Number of serious offences,Tavush,2018,89.0
Number of serious offences,Tavush,2019,82.0
Number of serious offences,Tavush,2020,118.0
Number of serious offences,Tavush,2021,143.0
Number of serious offences,Tavush,2022,128.0
Number of serious offences,Tavush,2023,142.0
Number of serious offences,Tavush,2024,160.0
Number of serious offences,Total Ra,2016,3082.0
Number of serious offences,Total Ra,2017,2729.0
Number of serious offences,Total Ra,2018,3643.0
Number of serious offences,Total Ra,2019,4491.0
Number of serious offences,Total Ra,2020,4218.0
Number of serious offences,Total Ra,2021,4463.0
Number of serious offences,Total Ra,2022,5092.0
Number of serious offences,Total Ra,2023,6169.0
Number of serious offences,Total Ra,2024,5557.0
Number of particulary serious offences,Yerevan,2016,95.0
Number of particulary serious offences,Yerevan,2017,84.0
Number of particulary serious offences,Yerevan,2018,125.0
Number of particulary serious offences,Yerevan,2019,153.0
Number of particulary serious offences,Yerevan,2020,141.0
Number of particulary serious offences,Yerevan,2021,202.0
Number of particulary serious offences,Yerevan,2022,500.0
Number of particulary serious offences,Yerevan,2023,884.0
Number of particulary serious offences,Yerevan,2024,1165.0
Number of particulary serious offences,Aragatsotn,2016,4.0
Number of particulary serious offences,Aragatsotn,2017,5.0
Number of particulary serious offences,Aragatsotn,2018,6.0
Number of particulary serious offences,Aragatsotn,2019,7.0
Number of particulary serious offences,Aragatsotn,2020,6.0
Number of particulary serious offences,Aragatsotn,2021,5.0
Number of particulary serious offences,Aragatsotn,2022,49.0
Number of particulary serious offences,Aragatsotn,2023,29.0
Number of particulary serious offences,Aragatsotn,2024,23.0
Number of particulary serious offences,Ararat,2016,4.0
Number of particulary serious offences,Ararat,2017,8.0
Number of particulary serious offences,Ararat,2018,14.0
Number of particulary serious offences,Ararat,2019,13.0
Number of particulary serious offences,Ararat,2020,16.0
Number of particulary serious offences,Ararat,2021,19.0
Number of particulary serious offences,Ararat,2022,37.0
Number of particulary serious offences,Ararat,2023,80.0
Number of particulary serious offences,Ararat,2024,131.0
Number of particulary serious offences,Armavir,2016,11.0
Number of particulary serious offences,Armavir,2017,14.0
Number of particulary serious offences,Armavir,2018,8.0
Number of particulary serious offences,Armavir,2019,12.0
Number of particulary serious offences,Armavir,2020,24.0
Number of particulary serious offences,Armavir,2021,30.0
Number of particulary serious offences,Armavir,2022,52.0
Number of particulary serious offences,Armavir,2023,59.0
Number of particulary serious offences,Armavir,2024,88.0
Number of particulary serious offences,Gegharkunik,2016,5.0
